2024-12-12 00:39:35.440 - LOG: Router started, listening on port 5000
2024-12-12 00:39:35.441 - LOG: Packets from A(127.0.0.1:7777) forward to B(127.0.0.1:8888)
2024-12-12 00:39:35.441 - LOG: Packets from B(127.0.0.1:8888) forward to A(127.0.0.1:7777)
2024-12-12 00:39:35.441 - LOG: Initial delay=10ms, loss_rate=3%
2024-12-12 00:39:47.464 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.464 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.464 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.464 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.464 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.464 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.465 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.483 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.507 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.507 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.508 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.508 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.519 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.520 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.564 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.604 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.604 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.604 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.604 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.604 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.604 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.605 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.605 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.605 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.605 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.605 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.605 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.605 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.605 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.605 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.664 - WARN: Packet dropped, size=20, loss_rate=3%
2024-12-12 00:39:47.684 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.755 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.755 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.755 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.755 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.755 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.756 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.756 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.756 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.756 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.756 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.756 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.757 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.757 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.757 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.757 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.757 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.758 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.794 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.794 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.794 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.794 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.794 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.795 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.814 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.814 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.834 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.834 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.834 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.835 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.835 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.835 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.835 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.835 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.835 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.835 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.835 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.835 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.835 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.836 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.836 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.836 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.836 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.836 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.894 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.934 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.934 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:47.994 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.014 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.034 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.034 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.074 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.094 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.094 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.094 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.094 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.154 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.174 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.174 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.174 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.174 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.175 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.220 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.254 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.254 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.254 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.254 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.254 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.299 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.335 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.335 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.335 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.335 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.335 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.394 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.414 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.434 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.434 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.434 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.434 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.435 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.474 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.494 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.494 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.494 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.494 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.494 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.494 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.495 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.554 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.569 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.569 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.570 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.570 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.570 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.570 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.570 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.570 - LOG: Packet sent, size=32767, delay=10ms, loss_rate=3%
2024-12-12 00:39:48.624 - LOG: Packet sent, size=20, delay=10ms, loss_rate=3%
